zone_id,cell_id,lat,lon,pop,area,liquefaccion,deslizamiento
libertador,c01193,10.50762306863099,-66.90409111493261,274.7466115702479,Sarría,0.0025,0.0011
libertador,c01194,10.50762306863099,-66.90272070045299,274.7466115702479,Sarría,0.0025,0.0
libertador,c01195,10.50762306863099,-66.90135028597336,274.7466115702479,Sarría,0.0025,0.0
libertador,c01196,10.50762306863099,-66.89997987149374,274.7466115702479,Sarría,0.0014,0.0011
libertador,c01197,10.50762306863099,-66.89860945701412,274.7466115702479,Sarría,0.0014,0.0011
libertador,c01198,10.50762306863099,-66.8972390425345,274.7466115702479,Sarría,0.0014,0.0011
libertador,c01199,10.50762306863099,-66.89586862805487,274.7466115702479,Sarría,0.0014,0.0012
libertador,c01200,10.50762306863099,-66.89449821357525,274.7466115702479,Sarría,0.0008,0.0012
libertador,c01201,10.50762306863099,-66.89312779909562,274.7466115702479,Sarría,0.0008,0.0012
libertador,c01202,10.50762306863099,-66.891757384616,274.7466115702479,Sarría,0.0008,0.0011
libertador,c01203,10.50762306863099,-66.89038697013638,274.7466115702479,Sarría,0.0005,0.0011
libertador,c01204,10.50762306863099,-66.88901655565675,271.568347107438,Barrio Los Manolos,0.0005,0.0011
libertador,c01205,10.50762306863099,-66.88764614117713,271.568347107438,Barrio Los Manolos,0.0005,0.0011
libertador,c01206,10.50762306863099,-66.8862757266975,271.568347107438,Barrio Los Manolos,0.0004,0.0011
libertador,c01207,10.50762306863099,-66.88490531221788,271.568347107438,Barrio Los Manolos,0.0004,0.0011
libertador,c01208,10.50762306863099,-66.88353489773826,271.568347107438,Barrio Los Manolos,0.0004,0.0012
libertador,c01209,10.50762306863099,-66.88216448325863,271.568347107438,Barrio Los Manolos,0.0,0.0013
libertador,c01210,10.50762306863099,-66.88079406877901,271.568347107438,Barrio Los Manolos,0.0,0.0013
libertador,c01211,10.50762306863099,-66.87942365429939,271.568347107438,Barrio Los Manolos,0.0,0.0017
libertador,c01212,10.50762306863099,-66.87805323981976,271.568347107438,Barrio Los Manolos,0.0,0.0017
libertador,c01213,10.50762306863099,-66.87668282534014,271.568347107438,Barrio Los Manolos,0.0,0.0017
libertador,c01214,10.50762306863099,-66.87531241086052,271.568347107438,Barrio Los Manolos,0.0,0.0014
libertador,c01215,10.50762306863099,-66.87394199638089,935.0742424242424,El Mirador,0.0003,0.0012
libertador,c01216,10.50762306863099,-66.87257158190127,935.0742424242424,El Mirador,0.0003,0.0012
libertador,c01217,10.50762306863099,-66.87120116742165,935.0742424242424,El Mirador,0.0003,0.0016
libertador,c01218,10.508970535393477,-66.94931479276019,259.4988429752066,Barrio 13 de Abril,0.0004,0.0
libertador,c01219,10.508970535393477,-66.94794437828057,259.4988429752066,Barrio 13 de Abril,0.0004,0.0
libertador,c01220,10.508970535393477,-66.94657396380094,259.4988429752066,Barrio 13 de Abril,0.0004,0.0011
libertador,c01221,10.508970535393477,-66.94520354932132,259.4988429752066,Barrio 13 de Abril,0.0004,0.0011
libertador,c01222,10.508970535393477,-66.9438331348417,259.4988429752066,Barrio 13 de Abril,0.0004,0.0011
libertador,c01223,10.508970535393477,-66.94246272036207,259.4988429752066,Barrio 13 de Abril,0.0004,0.0012
libertador,c01224,10.508970535393477,-66.94109230588245,259.4988429752066,Barrio 13 de Abril,0.0005,0.0012
libertador,c01225,10.508970535393477,-66.93972189140283,259.4988429752066,Barrio 13 de Abril,0.0005,0.0012
libertador,c01226,10.508970535393477,-66.9383514769232,259.4988429752066,Barrio 13 de Abril,0.0005,0.0012
libertador,c01227,10.508970535393477,-66.93698106244358,259.4988429752066,Barrio 13 de Abril,0.0006,0.0012
libertador,c01228,10.508970535393477,-66.93561064796395,259.4988429752066,Barrio 13 de Abril,0.0006,0.0012
libertador,c01229,10.508970535393477,-66.93424023348433,270.37710743801654,Barrio El Tanque,0.0006,0.001
libertador,c01230,10.508970535393477,-66.93286981900471,270.37710743801654,Barrio El Tanque,0.0006,0.001
libertador,c01231,10.508970535393477,-66.93149940452508,270.37710743801654,Barrio El Tanque,0.0006,0.0
libertador,c01232,10.508970535393477,-66.93012899004546,270.37710743801654,Barrio El Tanque,0.0006,0.0
libertador,c01233,10.508970535393477,-66.92875857556584,270.37710743801654,Barrio El Tanque,0.0005,0.0
libertador,c01234,10.508970535393477,-66.92738816108621,270.37710743801654,Barrio El Tanque,0.0005,0.001
libertador,c01235,10.508970535393477,-66.92601774660659,270.37710743801654,Barrio El Tanque,0.0005,0.0016
libertador,c01236,10.508970535393477,-66.92464733212697,270.37710743801654,Barrio El Tanque,0.0005,0.0016
libertador,c01237,10.508970535393477,-66.92327691764734,270.37710743801654,Barrio El Tanque,0.0005,0.0012
libertador,c01238,10.508970535393477,-66.92190650316772,270.37710743801654,Barrio El Tanque,0.0005,0.0012
libertador,c01239,10.508970535393477,-66.9205360886881,270.37710743801654,Barrio El Tanque,0.0005,0.0012
libertador,c01240,10.508970535393477,-66.91916567420847,277.964958677686,El Silencio,0.0005,0.0014
libertador,c01241,10.508970535393477,-66.91779525972885,277.964958677686,El Silencio,0.0005,0.0014
libertador,c01242,10.508970535393477,-66.91642484524922,277.964958677686,El Silencio,0.0005,0.0013
libertador,c01243,10.508970535393477,-66.9150544307696,277.964958677686,El Silencio,0.0005,0.0012
libertador,c01244,10.508970535393477,-66.91368401628998,277.964958677686,El Silencio,0.0005,0.0012
libertador,c01245,10.508970535393477,-66.91231360181035,277.964958677686,El Silencio,0.0006,0.0012
libertador,c01246,10.508970535393477,-66.91094318733073,277.964958677686,El Silencio,0.0006,0.0012
libertador,c01247,10.508970535393477,-66.9095727728511,277.964958677686,El Silencio,0.0006,0.0012
libertador,c01248,10.508970535393477,-66.90820235837148,277.964958677686,El Silencio,0.001,0.0011
libertador,c01249,10.508970535393477,-66.90683194389186,277.964958677686,El Silencio,0.001,0.0012
libertador,c01250,10.508970535393477,-66.90546152941224,277.964958677686,El Silencio,0.001,0.0012
libertador,c01251,10.508970535393477,-66.90409111493261,274.7466115702479,Sarría,0.0009,0.0011
libertador,c01252,10.508970535393477,-66.90272070045299,274.7466115702479,Sarría,0.0009,0.0
libertador,c01253,10.508970535393477,-66.90135028597336,274.7466115702479,Sarría,0.0009,0.0
libertador,c01254,10.508970535393477,-66.89997987149374,274.7466115702479,Sarría,0.0005,0.0011
libertador,c01255,10.508970535393477,-66.89860945701412,274.7466115702479,Sarría,0.0005,0.0011
libertador,c01256,10.508970535393477,-66.8972390425345,274.7466115702479,Sarría,0.0005,0.0011
libertador,c01257,10.508970535393477,-66.89586862805487,274.7466115702479,Sarría,0.0005,0.0012
libertador,c01258,10.508970535393477,-66.89449821357525,274.7466115702479,Sarría,0.0004,0.0012
libertador,c01259,10.508970535393477,-66.89312779909562,274.7466115702479,Sarría,0.0004,0.0012
libertador,c01260,10.508970535393477,-66.891757384616,274.7466115702479,Sarría,0.0004,0.0011
libertador,c01261,10.508970535393477,-66.89038697013638,274.7466115702479,Sarría,0.0,0.0011
libertador,c01262,10.508970535393477,-66.88901655565675,271.568347107438,Barrio Los Manolos,0.0,0.0011
libertador,c01263,10.508970535393477,-66.88764614117713,271.568347107438,Barrio Los Manolos,0.0,0.0011
libertador,c01264,10.508970535393477,-66.8862757266975,271.568347107438,Barrio Los Manolos,0.0,0.0011
libertador,c01265,10.508970535393477,-66.88490531221788,271.568347107438,Barrio Los Manolos,0.0,0.0011
libertador,c01266,10.508970535393477,-66.88353489773826,271.568347107438,Barrio Los Manolos,0.0,0.0012
libertador,c01267,10.508970535393477,-66.88216448325863,271.568347107438,Barrio Los Manolos,0.0,0.0013
libertador,c01268,10.508970535393477,-66.88079406877901,271.568347107438,Barrio Los Manolos,0.0,0.0013
libertador,c01269,10.508970535393477,-66.87942365429939,271.568347107438,Barrio Los Manolos,0.0,0.0017
libertador,c01270,10.508970535393477,-66.87805323981976,271.568347107438,Barrio Los Manolos,0.0,0.0017
libertador,c01271,10.508970535393477,-66.87668282534014,271.568347107438,Barrio Los Manolos,0.0,0.0017
libertador,c01272,10.508970535393477,-66.87531241086052,271.568347107438,Barrio Los Manolos,0.0,0.0014
libertador,c01273,10.508970535393477,-66.87394199638089,935.0742424242424,El Mirador,0.0,0.0012
libertador,c01274,10.508970535393477,-66.87257158190127,935.0742424242424,El Mirador,0.0,0.0012
libertador,c01275,10.508970535393477,-66.87120116742165,935.0742424242424,El Mirador,0.0,0.0016
libertador,c01276,10.510318002155964,-66.94931479276019,259.4988429752066,Barrio 13 de Abril,0.0004,0.0
libertador,c01277,10.510318002155964,-66.94794437828057,259.4988429752066,Barrio 13 de Abril,0.0004,0.0
libertador,c01278,10.510318002155964,-66.94657396380094,259.4988429752066,Barrio 13 de Abril,0.0004,0.001
libertador,c01279,10.510318002155964,-66.94520354932132,259.4988429752066,Barrio 13 de Abril,0.0004,0.001
libertador,c01280,10.510318002155964,-66.9438331348417,259.4988429752066,Barrio 13 de Abril,0.0004,0.0011
libertador,c01281,10.510318002155964,-66.94246272036207,259.4988429752066,Barrio 13 de Abril,0.0004,0.0011
libertador,c01282,10.510318002155964,-66.94109230588245,259.4988429752066,Barrio 13 de Abril,0.0005,0.0011
libertador,c01283,10.510318002155964,-66.93972189140283,259.4988429752066,Barrio 13 de Abril,0.0005,0.001
libertador,c01284,10.510318002155964,-66.9383514769232,259.4988429752066,Barrio 13 de Abril,0.0005,0.0009
libertador,c01285,10.510318002155964,-66.93698106244358,259.4988429752066,Barrio 13 de Abril,0.0006,0.0009
libertador,c01286,10.510318002155964,-66.93561064796395,259.4988429752066,Barrio 13 de Abril,0.0006,0.001
libertador,c01287,10.510318002155964,-66.93424023348433,270.37710743801654,Barrio El Tanque,0.0006,0.0009
libertador,c01288,10.510318002155964,-66.93286981900471,270.37710743801654,Barrio El Tanque,0.0006,0.0009
libertador,c01289,10.510318002155964,-66.93149940452508,270.37710743801654,Barrio El Tanque,0.0006,0.0
